,game_date,game_id,event,team,opponent,home,goals,fouls,yellow_cards,red_cards,offsides,corners,saves,possession,shots,shots_on_goal
34,2018-07-04 02:30:00,502555,"2018 Major League Soccer, Regular Season",Houston Dynamo,LAFC,1.0,2,16,2,0,3,10,1,0.54,16.0,8.0
35,2018-07-04 02:30:00,502555,"2018 Major League Soccer, Regular Season",LAFC,Houston Dynamo,0.0,2,13,3,0,3,2,6,0.46,8.0,3.0
36,2018-07-01 00:00:00,502558,"2018 Major League Soccer, Regular Season",Philadelphia Union,LAFC,0.0,1,10,0,0,9,7,4,0.46,10.0,2.0
37,2018-07-01 00:00:00,502558,"2018 Major League Soccer, Regular Season",LAFC,Philadelphia Union,1.0,4,8,2,0,6,4,1,0.54,11.0,8.0
38,2018-06-24 02:30:00,502569,"2018 Major League Soccer, Regular Season",LAFC,Columbus Crew SC,1.0,2,9,1,0,2,4,1,0.52,16.0,5.0
39,2018-06-24 02:30:00,502569,"2018 Major League Soccer, Regular Season",Columbus Crew SC,LAFC,0.0,0,17,4,0,2,6,3,0.48,10.0,1.0
40,2018-06-10 02:30:00,502582,"2018 Major League Soccer, Regular Season",San Jose Earthquakes,LAFC,1.0,3,15,0,1,3,2,1,0.37,10.0,7.0
41,2018-06-10 02:30:00,502582,"2018 Major League Soccer, Regular Season",LAFC,San Jose Earthquakes,0.0,4,19,2,0,1,3,4,0.63,14.0,5.0
42,2018-06-03 00:00:00,502595,"2018 Major League Soccer, Regular Season",FC Dallas,LAFC,1.0,2,9,1,0,2,6,2,0.45,19.0,7.0
43,2018-06-03 00:00:00,502595,"2018 Major League Soccer, Regular Season",LAFC,FC Dallas,0.0,1,11,1,1,0,3,5,0.55,8.0,3.0
44,2018-05-27 02:00:00,502608,"2018 Major League Soccer, Regular Season",LAFC,DC United,1.0,1,8,0,1,0,5,1,0.42,18.0,6.0
45,2018-05-27 02:00:00,502608,"2018 Major League Soccer, Regular Season",DC United,LAFC,0.0,1,20,4,0,0,12,5,0.58,13.0,2.0
46,2018-05-19 19:00:00,502626,"2018 Major League Soccer, Regular Season",Portland Timbers,LAFC,1.0,2,11,3,0,2,6,4,0.41,21.0,7.0
47,2018-05-19 19:00:00,502626,"2018 Major League Soccer, Regular Season",LAFC,Portland Timbers,0.0,1,9,3,0,2,6,5,0.59,10.0,5.0
48,2018-05-14 00:30:00,502631,"2018 Major League Soccer, Regular Season",New York City FC,LAFC,0.0,2,14,2,0,1,9,2,0.52,17.0,7.0
49,2018-05-14 00:30:00,502631,"2018 Major League Soccer, Regular Season",LAFC,New York City FC,1.0,2,10,3,0,1,14,5,0.48,21.0,3.0
50,2018-05-10 02:00:00,502642,"2018 Major League Soccer, Regular Season",Minnesota United FC,LAFC,0.0,0,17,5,0,0,3,5,0.42,7.0,3.0
51,2018-05-10 02:00:00,502642,"2018 Major League Soccer, Regular Season",LAFC,Minnesota United FC,1.0,2,16,1,0,1,9,2,0.58,29.0,7.0
52,2018-05-05 19:55:00,502653,"2018 Major League Soccer, Regular Season",LAFC,FC Dallas,1.0,1,9,0,0,2,8,2,0.64,15.0,4.0
53,2018-05-05 19:55:00,502653,"2018 Major League Soccer, Regular Season",FC Dallas,LAFC,0.0,1,8,2,0,0,4,3,0.36,8.0,3.0
54,2018-04-30 01:00:00,502658,"2018 Major League Soccer, Regular Season",Seattle Sounders FC,LAFC,0.0,0,16,2,0,2,6,4,0.5,13.0,6.0
55,2018-04-30 01:00:00,502658,"2018 Major League Soccer, Regular Season",LAFC,Seattle Sounders FC,1.0,1,11,1,0,0,4,6,0.5,15.0,5.0
56,2018-04-21 17:00:00,502678,"2018 Major League Soccer, Regular Season",LAFC,Montreal Impact,0.0,5,13,1,0,0,8,0,0.56,26.0,18.0
57,2018-04-21 17:00:00,502678,"2018 Major League Soccer, Regular Season",Montreal Impact,LAFC,1.0,3,15,2,1,1,1,14,0.44,9.0,3.0
58,2018-04-14 02:00:00,502689,"2018 Major League Soccer, Regular Season",Vancouver Whitecaps,LAFC,1.0,0,10,2,0,4,3,1,0.48,8.0,3.0
59,2018-04-14 02:00:00,502689,"2018 Major League Soccer, Regular Season",LAFC,Vancouver Whitecaps,0.0,2,10,2,0,1,6,3,0.52,16.0,3.0
60,2018-04-07 21:00:00,502698,"2018 Major League Soccer, Regular Season",Atlanta United FC,LAFC,1.0,5,11,3,0,2,4,1,0.41,11.0,6.0
61,2018-04-07 21:00:00,502698,"2018 Major League Soccer, Regular Season",LAFC,Atlanta United FC,0.0,0,9,0,1,3,6,1,0.59,17.0,1.0
62,2018-03-31 19:00:00,502710,"2018 Major League Soccer, Regular Season",LA Galaxy,LAFC,1.0,4,9,1,0,0,5,3,0.58,11.0,6.0
63,2018-03-31 19:00:00,502710,"2018 Major League Soccer, Regular Season",LAFC,LA Galaxy,0.0,3,5,0,0,0,1,2,0.42,14.0,5.0
64,2018-03-10 20:30:00,502734,"2018 Major League Soccer, Regular Season",LAFC,Real Salt Lake,0.0,5,12,0,0,4,9,5,0.4,21.0,12.0
65,2018-03-10 20:30:00,502734,"2018 Major League Soccer, Regular Season",Real Salt Lake,LAFC,1.0,1,9,1,0,0,3,7,0.6,21.0,6.0
66,2018-03-04 22:00:00,502740,"2018 Major League Soccer, Regular Season",Seattle Sounders FC,LAFC,1.0,0,12,1,1,4,12,0,0.6,22.0,7.0
67,2018-03-04 22:00:00,502740,"2018 Major League Soccer, Regular Season",LAFC,Seattle Sounders FC,0.0,1,12,1,0,1,1,7,0.4,5.0,1.0
68,2018-05-23 02:00:00,510335,Club Friendly,Borussia Dortmund,LAFC,0.0,1,7,0,0,2,3,5,0.5,12.0,6.0
69,2018-05-23 02:00:00,510335,Club Friendly,LAFC,Borussia Dortmund,1.0,1,9,1,0,6,11,5,0.5,12.0,6.0
70,2018-06-07 02:00:00,511019,"2018 U.S. Open Cup, Fourth Round",Fresno FC,LAFC,0.0,0,13,2,0,3,4,2,0.31,12.0,2.0
71,2018-06-07 02:00:00,511019,"2018 U.S. Open Cup, Fourth Round",LAFC,Fresno FC,1.0,2,9,0,0,1,6,2,0.69,15.0,4.0
72,2018-06-21 02:30:00,511620,"2018 U.S. Open Cup, Fifth Round",LAFC,Sacramento Republic FC,1.0,3,10,0,0,9,8,4,0.67,21.0,8.0
73,2018-06-21 02:30:00,511620,"2018 U.S. Open Cup, Fifth Round",Sacramento Republic FC,LAFC,0.0,2,16,3,0,1,2,5,0.33,12.0,6.0
74,2018-07-19 02:30:00,516888,"2018 U.S. Open Cup, Quarterfinals",LAFC,Portland Timbers,1.0,3,15,2,0,4,7,4,0.45,22.0,6.0
75,2018-07-19 02:30:00,516888,"2018 U.S. Open Cup, Quarterfinals",Portland Timbers,LAFC,0.0,2,22,5,0,4,5,4,0.55,12.0,6.0
76,2018-08-09 00:30:00,521927,"2018 U.S. Open Cup, Semifinals",LAFC,Houston Dynamo,0.0,3,11,0,0,2,3,6,0.58,13.0,6.0
77,2018-08-09 00:30:00,521927,"2018 U.S. Open Cup, Semifinals",Houston Dynamo,LAFC,1.0,3,16,3,0,2,8,3,0.42,18.0,9.0
78,2018-11-02 03:00:00,528089,"2018 Major League Soccer, Knockout - Western Conf",LAFC,Real Salt Lake,1.0,2,9,2,0,3,10,0,0.63,20.0,8.0
79,2018-11-02 03:00:00,528089,"2018 Major League Soccer, Knockout - Western Conf",Real Salt Lake,LAFC,0.0,3,20,5,0,0,1,6,0.37,4.0,2.0
80,2019-06-02 02:30:00,532583,"2019 Major League Soccer, Regular Season",Portland Timbers,LAFC,1.0,2,15,4,0,2,7,3,0.53,19.0,7.0
81,2019-06-02 02:30:00,532583,"2019 Major League Soccer, Regular Season",LAFC,Portland Timbers,0.0,3,12,2,0,2,4,5,0.47,16.0,6.0
82,2019-03-04 01:30:00,532594,"2019 Major League Soccer, Regular Season",Sporting Kansas City,LAFC,0.0,1,17,5,1,1,0,4,0.49,11.0,5.0
83,2019-03-04 01:30:00,532594,"2019 Major League Soccer, Regular Season",LAFC,Sporting Kansas City,1.0,2,11,3,0,4,7,4,0.51,14.0,6.0
84,2019-10-06 20:00:00,533000,"2019 Major League Soccer, Regular Season",LAFC,Colorado Rapids,1.0,3,11,3,0,5,8,4,0.64,15.0,5.0
85,2019-10-06 20:00:00,533000,"2019 Major League Soccer, Regular Season",Colorado Rapids,LAFC,0.0,1,5,1,0,1,8,2,0.36,10.0,5.0
86,2019-09-29 23:30:00,533013,"2019 Major League Soccer, Regular Season",LAFC,Minnesota United FC,0.0,1,5,0,0,1,9,6,0.67,20.0,5.0
87,2019-09-29 23:30:00,533013,"2019 Major League Soccer, Regular Season",Minnesota United FC,LAFC,1.0,1,8,1,0,1,6,4,0.33,14.0,7.0
88,2019-09-26 02:30:00,533024,"2019 Major League Soccer, Regular Season",Houston Dynamo,LAFC,0.0,1,13,3,0,2,5,6,0.37,10.0,4.0
89,2019-09-26 02:30:00,533024,"2019 Major League Soccer, Regular Season",LAFC,Houston Dynamo,1.0,3,13,2,0,3,6,2,0.63,20.0,9.0
90,2019-09-22 02:30:00,533034,"2019 Major League Soccer, Regular Season",Toronto FC,LAFC,0.0,1,10,1,0,1,4,4,0.43,8.0,1.0
91,2019-09-22 02:30:00,533034,"2019 Major League Soccer, Regular Season",LAFC,Toronto FC,1.0,1,11,1,0,2,11,0,0.57,17.0,5.0
92,2019-09-14 23:30:00,533051,"2019 Major League Soccer, Regular Season",LAFC,Philadelphia Union,0.0,1,13,4,0,2,3,2,0.51,16.0,4.0
93,2019-09-14 23:30:00,533051,"2019 Major League Soccer, Regular Season",Philadelphia Union,LAFC,1.0,1,11,0,0,1,6,3,0.49,9.0,3.0
94,2019-09-07 23:30:00,533061,"2019 Major League Soccer, Regular Season",LAFC,Orlando City SC,0.0,2,9,1,0,4,10,0,0.63,13.0,4.0
95,2019-09-07 23:30:00,533061,"2019 Major League Soccer, Regular Season",Orlando City SC,LAFC,1.0,2,11,3,0,2,4,2,0.37,7.0,2.0
96,2019-09-02 02:30:00,533064,"2019 Major League Soccer, Regular Season",Minnesota United FC,LAFC,0.0,2,7,0,0,1,1,8,0.23,5.0,4.0
97,2019-09-02 02:30:00,533064,"2019 Major League Soccer, Regular Season",LAFC,Minnesota United FC,1.0,0,8,1,0,1,15,2,0.77,23.0,8.0
